0,Godzilla x Kong The New Empire,Following their explosive showdown Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world challenging their very existence – and our own.
1,Kung Fu Panda 4,Po is gearing up to become the spiritual leader of his Valley of Peace but also needs someone to take his place as Dragon Warrior. As such he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.
2,Road House,Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse only to discover that this paradise is not all it seems.
3,After the Pandemic,Set in a post-apocalyptic world where a global airborne pandemic has wiped out 90% of the Earth's population and only the young and immune have endured as scavengers. For Ellie and Quinn the daily challenges to stay alive are compounded when they become hunted by the merciless Stalkers.
4,Madame Web,Forced to confront revelations about her past paramedic Cassandra Webb forges a relationship with three young women destined for powerful futures...if they can all survive a deadly present.
5,Damsel,A young woman's marriage to a charming prince turns into a fierce fight for survival when she's offered up as a sacrifice to a fire-breathing dragon.
6,Creation of the Gods I Kingdom of Storms,Based on the most well-known classical fantasy novel of China Fengshenyanyi the trilogy is a magnificent eastern high fantasy epic that recreates the prolonged mythical wars between humans immortals and monsters which happened more than three thousand years ago.
7,Migration,After a migrating duck family alights on their pond with thrilling tales of far-flung places the Mallard family embarks on a family road trip from New England to New York City to tropical Jamaica.
8,Hunters,As John T. Wrecker continues his task of protecting a group of refugees from a virus the threat of something new and even more dangerous grows ever closer in the form of monstrous mutants.
9,Alienoid,Gurus in the late Goryeo dynasty try to obtain a fabled holy sword and humans in 2022 hunt down an alien prisoner that is locked in a human's body. The two parties cross paths when a time-traveling portal opens up.
10,Dune Part Two,Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe Paul endeavors to prevent a terrible future only he can foresee.
11,No Way Up,Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.
